2017-05-18,DVA,64.1,2.005
2017-05-18,DVN,36.9,0.6519
2017-05-18,EA,106.93,7.2409
2017-05-18,EBAY,33.73,0.4355
2017-05-18,ECL,126.74,0.9838
2017-05-18,ED,79.92,0.406
2017-05-18,EFX,135.27,1.1287
2017-05-18,EIX,77.96,0.696
2017-05-18,EL,91.38,1.9995
2017-05-18,EMN,77.25,0.9982
2017-05-18,EMR,58.45,0.6968
2017-05-18,EOG,91.69,1.7577
2017-05-18,EQIX,425.76,2.8769
2017-05-18,EQR,65.41,0.4165
2017-05-18,EQT,55.47,1.0535
2017-05-18,ESRX,59.26,0.9709
2017-05-18,ESS,255.88,2.5112
2017-05-18,ETFC,33.39,0.8406
2017-05-18,ETN,76.07,0.4524
2017-05-18,ETR,75.77,0.6873
2017-05-18,EW,111.95,1.2774
2017-05-18,EXC,35.08,0.4594
2017-05-18,EXPD,52.61,0.9325
2017-05-18,EXPE,141.26,2.0274
2017-05-18,EXR,75.9,1.1956
2017-05-18,F,10.79,0.167
2017-05-18,FAST,42.94,1.05
2017-05-18,FB,147.66,1.9781
2017-05-18,FBHS,62.84,0.3997
2017-05-18,FCX,11.29,0.393
2017-05-18,FDX,188.73,2.0979
2017-05-18,FE,28.16,0.2854
2017-05-18,FFIV,125.9,1.9847
2017-05-18,FIS,82.81,0.4253
2017-05-18,FISV,120.04,0.6493
2017-05-18,FITB,23.82,0.3872
2017-05-18,FL,70.45,2.41
2017-05-18,FLIR,37.35,0.2746
2017-05-18,FLR,45.47,2.1455
2017-05-18,FLS,48.56,0.5782
2017-05-18,FMC,72.34,1.2876
2017-05-18,FRT,124.29,3.9719
2017-05-18,FTI,31.54,0.5038
2017-05-18,GD,192.64,1.356
2017-05-18,GE,27.48,0.6257
2017-05-18,GGP,22.39,0.3104
2017-05-18,GILD,64.43,1.2969
2017-05-18,GIS,55.91,0.4914
2017-05-18,GLW,28.77,0.2527
2017-05-18,GM,32.47,0.6038
2017-05-18,GOOGL,950.5,8.8569
2017-05-18,GPC,91.65,0.5609
2017-05-18,GPN,88.77,2.8905
2017-05-18,GPS,23.19,1.0816
2017-05-18,GRMN,51.0,0.6478
2017-05-18,GS,215.16,4.0351
2017-05-18,GT,32.06,1.1945
2017-05-18,GWW,173.3,5.8927
2017-05-18,HAL,46.58,0.6502
2017-05-18,HAS,99.53,1.0214
2017-05-18,HBAN,12.5,0.2376
2017-05-18,HBI,20.36,0.7691
2017-05-18,HCA,81.26,1.2244
2017-05-18,HCN,72.93,1.1618
2017-05-18,HCP,31.72,0.6215
2017-05-18,HD,155.7,1.2883
2017-05-18,HES,47.78,1.1421
2017-05-18,HIG,48.69,0.3257
2017-05-18,HII,190.34,3.7156
2017-05-18,HOG,52.76,1.258
2017-05-18,HOLX,43.08,1.1728
2017-05-18,HON,130.42,0.6094
2017-05-18,HP,57.05,0.9104
2017-05-18,HRB,25.29,0.7357
2017-05-18,HRL,34.15,0.2389
2017-05-18,HRS,107.44,1.0038
2017-05-18,HSIC,88.525,0.6627
2017-05-18,HST,18.03,0.2592
2017-05-18,HSY,110.76,1.1325
2017-05-18,HUM,228.81,2.8857
2017-05-18,IBM,150.78,3.5079
2017-05-18,ICE,58.59,0.8839
2017-05-18,IDXX,161.59,1.4149
2017-05-18,IFF,134.26,3.746
2017-05-18,ILMN,175.89,4.3412
2017-05-18,INCY,128.8,3.8961
2017-05-18,INTC,35.22,0.657
2017-05-18,INTU,125.15,0.7864
2017-05-18,IP,50.82,0.7986
2017-05-18,IPG,24.17,0.2632
2017-05-18,IR,88.17,0.678
2017-05-18,IRM,35.41,0.2737
2017-05-18,ISRG,286.6597,2.0876
2017-05-18,IT,112.41,0.802
2017-05-18,ITW,135.35,1.3518
2017-05-18,IVZ,31.24,0.568
2017-05-18,JBHT,84.03,1.8957
2017-05-18,JCI,41.77,0.3482
2017-05-18,JEC,51.4,1.3754
2017-05-18,JNJ,126.97,1.772
2017-05-18,JNPR,29.59,0.3673
2017-05-18,JPM,83.96,1.1125
2017-05-18,JWN,40.66,3.9601
2017-05-18,K,70.08,0.9045
2017-05-18,KEY,17.68,0.3766
2017-05-18,KIM,18.21,0.8239
2017-05-18,KLAC,100.85,0.8141
2017-05-18,KMB,126.72,0.849
2017-05-18,KMI,19.45,0.323
2017-05-18,KMX,63.71,1.5342
2017-05-18,KO,43.8,0.2135
2017-05-18,KORS,35.45,1.0044
2017-05-18,KR,29.09,0.4926
2017-05-18,KSS,37.05,1.4321
2017-05-18,KSU,90.17,0.9138
2017-05-18,L,46.05,0.499
2017-05-18,LB,49.69,1.7826
2017-05-18,LEG,50.1,1.1816
2017-05-18,LEN,50.098,0.5413
2017-05-18,LH,138.26,1.5748
2017-05-18,LKQ,30.87,0.2462
2017-05-18,LLL,160.69,2.9023
2017-05-18,LLY,78.3,1.4486
2017-05-18,LMT,267.32,1.8876
2017-05-18,LNC,64.59,1.4033
2017-05-18,LNT,39.82,0.2593
2017-05-18,LOW,84.05,0.7391
2017-05-18,LRCX,149.81,1.2109
2017-05-18,LUK,24.62,0.4463
2017-05-18,LUV,57.29,0.6535
2017-05-18,LYB,80.41,1.2446
2017-05-18,M,22.76,3.0073
2017-05-18,MA,116.24,0.7665
2017-05-18,MAA,99.89,0.5336
2017-05-18,MAC,58.14,2.4419
2017-05-18,MAR,102.53,3.3006
2017-05-18,MAS,37.02,0.1996
2017-05-18,MAT,22.08,0.3031
2017-05-18,MCD,147.01,1.9334
2017-05-18,MCHP,79.34,2.1614
2017-05-18,MCK,141.44,2.448
2017-05-18,MCO,113.39,1.9902
2017-05-18,MDLZ,45.0,0.551
2017-05-18,MDT,82.4,0.6542
2017-05-18,MET,49.81,0.9499
2017-05-18,MGM,30.96,0.4231
2017-05-18,MHK,228.48,2.1167
2017-05-18,MKC,100.11,0.4367
2017-05-18,MLM,229.28,4.947
2017-05-18,MMC,74.5,0.3465
2017-05-18,MMM,195.24,1.5236
